"genotype" "clonalcolony" "identifier"
"FY4-5" "A7-110316" 96458
"FY4-5" "A7-110316" 96459
"FY4-5" "A7-110316" 96460
"FY4-5" "A7-110316" 96461
"FY4-5" "A7-110316" 96462
"FY4-5" "A7-110316" 96463
"FY4-5" "A7-110316" 96465
"FY4-5" "A7-110316" 96467
"FY4-5" "A7-110316" 96476
"FY4-5" "A7-110316" 96477
"FY4-5" "A7-110316" 96478
"FY4-5" "A7-110316" 96479
"FY4-5" "A7-110316" 96480
"FY4-5" "A7-110316" 96481
"FY4-5" "A7-110316" 96482
"FY4-5" "A7-110316" 96483
"FY4-5" "A7-110316" 96484
"FY4-5" "A7-110316" 96485
"FY4-5" "A7-110316" 96487
"FY4-5" "A7-110316" 96489
"FY4-5" "A7-110316" 96493
"FY4-5" "A7-110316" 96495
"FY4-5" "A7-110316" 96496
"FY4-5" "A7-110316" 96499
"FY4-5" "A7-110316" 96501
"FY4-5" "A7-110316" 96502
"FY4-5" "A7-110316" 96503
"FY4-5" "A7-110316" 96504
"FY4-5" "A7-110316" 96505
"FY4-5" "A7-110316" 96506
"FY4-5" "A7-110316" 96508
"FY4-5" "A7-110316" 96509
"FY4-5" "A7-110316" 96510
"FY4-5" "A7-110316" 96511
"FY4-5" "A7-110316" 96512
"FY4-5" "A7-110316" 96513
"FY4-5" "A7-110316" 96514
"FY4-5" "A7-110316" 96516
"FY4-5" "A7-110316" 96517
"FY4-5" "A7-110316" 96518
"FY4-5" "A7-110316" 96519
"FY4-5" "A7-110316" 96520
"FY4-5" "A7-110316" 96521
"FY4-5" "A7-110316" 96522
"FY4-5" "A7-110316" 96523
"FY4-5" "A7-110316" 96524
"FY4-5" "A7-110316" 96527
"FY4-5" "A7-110316" 96528
"FY4-5" "A7-110316" 96529
"FY4-5" "A7-110316" 96530
"FY4-5" "A7-110316" 96531
"FY4-5" "A7-110316" 96534
"FY4-5" "A7-110316" 96535
"FY4-5" "A7-110316" 96536
"FY4-5" "A7-110316" 96537
"FY4-5" "A7-110316" 96538
"FY4-5" "A7-110316" 96539
"FY4-5" "A7-110316" 96540
"FY4-5" "A7-110316" 96544
"FY4-5" "A7-110316" 96545
"FY4-5" "A7-110316" 96546
"FY4-5" "A7-110316" 96547
"FY4-5" "A7-110316" 96548
"FY4-5" "A7-110316" 96549
"FY4-5" "A7-110316" 96550
"FY4-5" "A7-110316" 96551
"FY4-5" "A7-110316" 96552
"FY4-5" "A7-110316" 96557
"FY4-5" "A7-110316" 96562
"FY4-5" "A7-110316" 96563
"FY4-5" "A7-110316" 96564
"FY4-5" "A7-110316" 96567
"FY4-5" "A7-110316" 96568
"FY4-5" "A7-110316" 96569
"FY4-5" "A7-110316" 96570
"FY4-5" "A7-110316" 96571
"FY4-5" "A7-110316" 96572
"FY4-5" "A7-110316" 96576
"FY4-5" "A7-110316" 96579
"FY4-5" "A7-110316" 96584
"FY4-5" "A7-110316" 96585
"FY4-5" "A7-110316" 96587
"FY4-5" "A7-110316" 96589
"FY4-5" "A7-110316" 96590
"FY4-5" "A7-110316" 96591
"FY4-5" "A7-110316" 96595
"FY4-5" "A7-110316" 96596
"FY4-5" "A7-110316" 96597
"FY4-5" "A7-110316" 96602
"FY4-5" "A7-110316" 96604
"FY4-5" "A7-110316" 96607
"FY4-5" "A7-110316" 96608
"FY4-5" "A7-110316" 96614
"FY4-5" "A7-110316" 96621
"FY4-5" "A7-110316" 96624
"FY4-5" "A7-110316" 96627
"FY4-5" "A7-110316" 96630
"FY4-5" "A7-110316" 96643
"FY4-5" "A7-110316" 96644
"FY4-5" "A7-110316" 96646
"FY4-5" "A7-110316" 96648
"FY4-5" "A7-110316" 96649
"FY4-5" "A7-110316" 96650
"FY4-5" "A7-110316" 96651
"FY4-5" "A7-110316" 96655
"FY4-5" "A7-110316" 96656
"FY4-5" "A7-110316" 96657
"FY4-5" "A7-110316" 96658
"FY4-5" "A7-110316" 96659
"FY4-5" "A7-110316" 96660
"FY4-5" "A7-110316" 96662
"FY4-5" "A7-110316" 96664
"FY4-5" "A7-110316" 96665
"FY4-5" "A7-110316" 96666
"FY4-5" "A7-110316" 96668
"FY4-5" "A7-110316" 96669
"FY4-5" "A7-110316" 96670
"FY4-5" "A7-110316" 96671
"FY4-5" "A7-110316" 96672
"FY4-5" "A7-110316" 96673
"FY4-5" "A7-110316" 96674
"FY4-5" "A7-110316" 96675
"FY4-5" "A7-110316" 96676
"FY4-5" "A7-110316" 96679
"FY4-5" "A7-110316" 96683
"FY4-5" "A7-110316" 96684
"FY4-5" "A7-110316" 96687
"FY4-5" "A7-110316" 96689
"FY4-5" "A7-110316" 96690
