Culture	Time	TotalArea	Number
R05C08	1321393892.000000	107686.500000	188
R05C08	1321395032.000000	116453.000000	180
R05C08	1321396178.000000	126704.000000	193
R05C08	1321397334.000000	140265.000000	173
R05C08	1321398480.000000	147583.000000	184
R05C08	1321399620.000000	162572.000000	180
R05C08	1321400758.000000	177060.500000	174
R05C08	1321401894.000000	189970.500000	165
R05C08	1321403032.000000	206136.500000	156
R05C08	1321404186.000000	225135.500000	149
R05C08	1321405330.000000	244807.500000	142
R05C08	1321406478.000000	262884.000000	155
R05C08	1321407620.000000	281465.500000	152
R05C08	1321408760.000000	302881.500000	144
R05C08	1321409906.000000	325422.000000	135
R05C08	1321411036.000000	349520.000000	143
R05C08	1321412206.000000	377220.000000	129
R05C08	1321413352.000000	402151.500000	131
R05C08	1321414496.000000	433306.000000	113
R05C08	1321415638.000000	459672.500000	117
R05C08	1321416782.000000	491237.500000	105
R05C08	1321417958.000000	522318.000000	105
R05C08	1321419110.000000	557666.000000	98
